fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S40;1254;858;2115;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S40;813;290;1107;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S40;41678;37928;79925;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S41;1311;1414;2803;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S41;7783;7943;15922;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S41;14101;12701;26853;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S41;10746;9592;20370;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S41;10059;8667;18754;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S41;8695;7973;16692;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S41;5296;5053;10377;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S41;2882;2885;5770;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S41;2155;1483;3640;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S41;1338;408;1747;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S41;64381;58145;122989;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S42;1841;1930;3876;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S42;10768;10653;21711;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S42;18051;15563;33656;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S42;15516;13122;28685;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S42;14717;12561;27318;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S42;12914;11601;24544;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S42;8233;7980;16270;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S42;4579;4658;9241;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S42;3715;2440;6156;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S42;2480;752;3233;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S42;92844;81289;174764;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S43;2546;2589;5249;3802089.59193844;3961116.09433445;09;7763205.68627289
