reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
32,59,2020-03-19,45,20,,,22,0,"[50,59]"
32,69,2020-03-19,70,31,,,11,6,"[60,69]"
32,79,2020-03-19,91,45,,,17,14,"[70,79]"
32,89,2020-03-19,102,8,,,12,21,"[80,89]"
32,90,2020-03-19,38,0,,,2,5,"[90,+]"
44,0,2020-03-19,1196,259,,,221,158,"[0,9]"
44,9,2020-03-19,7,0,,,33,0,"[0,9]"
44,19,2020-03-19,2,2,,,3,0,"[10,19]"
44,29,2020-03-19,11,1,,,11,1,"[20,39]"
44,39,2020-03-19,27,9,,,14,0,"[30,39]"
44,49,2020-03-19,53,19,,,18,2,"[40,49]"
44,59,2020-03-19,131,47,,,34,4,"[50,59]"
44,69,2020-03-19,245,84,,,31,13,"[60,69]"
44,79,2020-03-19,285,72,,,34,28,"[70,79]"
44,89,2020-03-19,287,20,,,26,74,"[80,89]"
44,90,2020-03-19,101,0,,,9,34,"[90,+]"
52,0,2020-03-19,66,14,,,54,1,"[0,9]"
52,29,2020-03-19,1,0,,,7,0,"[20,39]"
52,39,2020-03-19,1,0,,,3,0,"[30,39]"
52,49,2020-03-19,4,1,,,14,0,"[40,49]"
52,59,2020-03-19,6,2,,,10,0,"[50,59]"
52,69,2020-03-19,14,4,,,12,0,"[60,69]"
52,79,2020-03-19,18,4,,,5,0,"[70,79]"
52,89,2020-03-19,14,3,,,3,0,"[80,89]"
52,90,2020-03-19,7,0,,,0,1,"[90,+]"
53,0,2020-03-19,83,25,,,52,10,"[0,9]"
53,39,2020-03-19,5,2,,,3,0,"[30,39]"
53,49,2020-03-19,2,0,,,1,0,"[40,49]"
53,59,2020-03-19,9,4,,,10,0,"[50,59]"
53,69,2020-03-19,13,0,,,13,1,"[60,69]"
53,79,2020-03-19,23,12,,,15,0,"[70,79]"
53,89,2020-03-19,27,7,,,4,5,"[80,89]"
53,90,2020-03-19,3,0,,,1,4,"[90,+]"
75,0,2020-03-19,59,12,,,21,3,"[0,9]"
75,29,2020-03-19,2,1,,,3,0,"[20,39]"
75,39,2020-03-19,3,0,,,3,0,"[30,39]"
75,49,2020-03-19,3,1,,,0,0,"[40,49]"
75,59,2020-03-19,7,2,,,4,1,"[50,59]"
75,69,2020-03-19,11,3,,,5,0,"[60,69]"
75,79,2020-03-19,11,3,,,3,0,"[70,79]"
75,89,2020-03-19,16,2,,,0,1,"[80,89]"
75,90,2020-03-19,5,0,,,1,1,"[90,+]"
76,0,2020-03-19,145,59,,,68,17,"[0,9]"
76,9,2020-03-19,1,0,,,7,0,"[0,9]"
76,29,2020-03-19,2,0,,,5,1,"[20,39]"
76,39,2020-03-19,4,0,,,9,0,"[30,39]"
76,49,2020-03-19,7,4,,,7,0,"[40,49]"
76,59,2020-03-19,17,8,,,17,1,"[50,59]"
76,69,2020-03-19,34,18,,,4,1,"[60,69]"
76,79,2020-03-19,50,22,,,13,4,"[70,79]"
76,89,2020-03-19,23,6,,,2,9,"[80,89]"
76,90,2020-03-19,5,1,,,0,1,"[90,+]"
84,0,2020-03-19,408,74,,,145,28,"[0,9]"
84,9,2020-03-19,2,1,,,1,0,"[0,9]"
84,29,2020-03-19,3,0,,,11,0,"[20,39]"
84,39,2020-03-19,11,0,,,17,1,"[30,39]"
84,49,2020-03-19,16,2,,,14,0,"[40,49]"
84,59,2020-03-19,32,11,,,23,1,"[50,59]"
84,69,2020-03-19,55,19,,,24,1,"[60,69]"
84,79,2020-03-19,109,32,,,33,5,"[70,79]"
84,89,2020-03-19,119,7,,,12,12,"[80,89]"
84,90,2020-03-19,54,0,,,8,8,"[90,+]"
93,0,2020-03-19,224,47,,,261,9,"[0,9]"
